id,text,text_clean,label,sentiment_label,emotion,emotion_group,category,word_count,word_count_clean,length_bucket,helpfulness_score,implicit_flag,is_spam,language,manual_label_normalized,vader_label,vader_compound,vader_pos_conf,vader_neu_conf,vader_neg_conf
58,i guess my shipment got tossed into a swamp oh well hmm,i guess my shipment got tossed into a swamp oh well,0,negative,Sarcasm,negative,Electronics,12,11,medium,1,1,0,en,negative,positive,0.2732,0.208,0.792,0.0
59,Honestly The package arrived looking like a swamp End of story,honestly the package arrived looking like a swamp end of story,0,negative,Frustration,negative,Electronics,11,11,medium,1,1,0,en,negative,positive,0.6705,0.407,0.593,0.0
60,the delivery went to another state anyway tbh,the delivery went to another state,0,negative,Frustration,negative,Clothing,8,6,short,4,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
62,the package spent a week in another state make of that what you will,the package spent a week in another state make of that what you will,0,negative,Disappointment,negative,Automotive,14,14,medium,2,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
63,The guy looked like it visited a puddle End of story wow,the guy looked like it visited a puddle end of story,0,negative,Disappointment,negative,Sports & Outdoors,12,11,medium,2,1,0,en,negative,positive,0.3612,0.217,0.783,0.0
64,Listen The carrier got tossed into the neighbor's trsah Anyway ok,listen the carrier got tossed into the neighbor's trsah ok,0,negative,Sarcasm,negative,Home & Kitchen,11,10,medium,6,1,0,en,negative,positive,0.296,0.196,0.804,0.0
65,Wow The delivery was left near another state .,the delivery was left near another state,0,negative,Sarcasm,negative,Home & Kitchen,9,7,short,3,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
66,Bruh  My shipment spent a week in the next town over Cheers .,my shipment spent a week in the next town over,0,negative,Frustration,negative,Automotive,13,10,medium,2,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
68,Okay The tracking ended up in another state Cheers,okay the tracking ended up in another state,0,negative,Disappointment,negative,Automotive,9,8,medium,0,1,0,en,negative,positive,0.2263,0.213,0.787,0.0
69,Honestly The box was left near a warzone End of story tbh,honestly the box was left near a warzone end of story,0,negative,Sarcasm,negative,Automotive,12,11,medium,3,1,0,en,negative,positive,0.4588,0.25,0.75,0.0
70,first off the package ended up in a warzone ok,first off the package ended up in a warzone ok,0,negative,Frustration,negative,Electronics,10,10,medium,0,1,0,en,negative,positive,0.296,0.216,0.784,0.0
72,Well The guy was left near a warzone Anyway,well the guy was left near a warzone,0,negative,Disappointment,negative,Automotive,9,8,medium,1,1,0,en,negative,positive,0.2732,0.259,0.741,0.0
73,honestly the carrier looked like it visited a puddle ok,honestly the carrier looked like it visited a puddle ok,0,negative,Disappointment,negative,Sports & Outdoors,10,10,medium,2,1,0,en,negative,positive,0.7717,0.562,0.438,0.0
74,The package went to a warzone Just putting it out there .,the package went to a warzone just putting it out there,0,negative,Disappointment,negative,Sports & Outdoors,12,11,medium,6,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
75,Okay My shipment went to an accordion,okay my shipment went to an accordion,0,negative,Frustration,negative,Sports & Outdoors,7,7,short,0,1,0,en,negative,positive,0.2263,0.241,0.759,0.0
77,wow  the box spent a week in a swamp whatever wow,the box spent a week in a swamp,0,negative,Disappointment,negative,Automotive,11,8,medium,2,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
78,listen the guy spent a week in the next town over make of that what you will hmm,listen the guy spent a week in the next town over make of that what you will,0,negative,Sarcasm,negative,Electronics,18,17,long,13,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
79,Ok so The delivery was left near the next town over Fascinating .,ok so the delivery was left near the next town over,0,negative,Sarcasm,negative,Clothing,13,11,medium,6,1,0,en,negative,positive,0.296,0.18,0.82,0.0
80,The box ended up in a swamp tbh,the box ended up in a swamp,0,negative,Disappointment,negative,Clothing,8,7,short,1,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
81,Wow The box arrived looking like the next town over Oh well lol,the box arrived looking like the next town over oh well,0,negative,Sarcasm,negative,Electronics,13,11,medium,0,1,0,en,negative,positive,0.5574,0.338,0.662,0.0
82,well the package got tossed into another state ok,well the package got tossed into another state ok,0,negative,Sarcasm,negative,Home & Kitchen,9,9,medium,4,1,0,en,negative,positive,0.5106,0.381,0.619,0.0
83,My shipment spent a week in a warzone yeah,my shipment spent a week in a warzone,0,negative,Disappointment,negative,Home & Kitchen,9,8,medium,11,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
85,If im being real The box arrived looking like a puddle Yup lol,if im being real the box arrived looking like a puddle,0,negative,Frustration,negative,Clothing,13,11,medium,0,1,0,en,negative,positive,0.3612,0.217,0.783,0.0
86,Ok so My shipment ended up in the neighbor's trash .,ok so my shipment ended up in the neighbor's trash,0,negative,Frustration,negative,Home & Kitchen,11,10,medium,2,1,0,en,negative,positive,0.296,0.196,0.804,0.0
87,if im being real my shipment was left near an accordion hmm,if im being real my shipment was left near an accordion,0,negative,Frustration,negative,Automotive,12,11,medium,2,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
90,so the guy arrived looking like an accordion just putting it out there wow,so the guy arrived looking like an accordion just putting it out there,0,negative,Sarcasm,negative,Electronics,14,13,medium,1,1,0,en,negative,positive,0.3612,0.172,0.828,0.0
91,I guess The package was left near the neighbors trash End of story lol,i guess the package was left near the neighbors trash end of story,0,negative,Sarcasm,negative,Clothing,14,13,medium,1,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
94,Okay  My shipment went to another state Oh well,okay my shipment went to another state oh well,0,negative,Sarcasm,negative,Home & Kitchen,9,9,medium,0,1,0,en,negative,positive,0.4588,0.364,0.636,0.0
95,Bruh The tracking ended up in hte next town over End of story hmm,the tracking ended up in hte next town over end of story,0,negative,Frustration,negative,Clothing,14,12,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
96,The  carrier went to another state Fascinating ok,the carrier went to another state ok,0,negative,Disappointment,negative,Automotive,8,7,short,2,1,0,en,negative,positive,0.296,0.268,0.732,0.0
97,Wow  The delivery ended up in a warzone,the delivery ended up in a warzone,0,negative,Sarcasm,negative,Clothing,8,7,short,2,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
98,Ok so The carrier was left near a swamp ok,ok so the carrier was left near a swamp ok,0,negative,Frustration,negative,Automotive,10,10,medium,7,1,0,en,negative,positive,0.5267,0.386,0.614,0.0
99,First off The package was left near another state Take it orl eave it smh,first off the package was left near another state take it orl eave it,0,negative,Sarcasm,negative,Clothing,15,14,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
100,Okay My shipment looked like it visited a puddle lol,okay my shipment looked like it visited a puddle,0,negative,Frustration,negative,Home & Kitchen,10,9,medium,0,1,0,en,negative,positive,0.5267,0.423,0.577,0.0
101,look the package was left near the enighbors trash whatever wow,look the package was left near the enighbors trash,0,negative,Disappointment,negative,Home & Kitchen,11,9,medium,1,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
102,The tracking was left near another state Just putting it out there .,the tracking was left near another state just putting it out there,0,negative,Sarcasm,negative,Automotive,13,12,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
103,so my shipment was left near a puddle oh well yeah,so my shipment was left near a puddle oh well,0,negative,Frustration,negative,Electronics,11,10,medium,0,1,0,en,negative,positive,0.2732,0.208,0.792,0.0
104,okay the tracking arrived looking like the negihbor's trash anyway tbh,okay the tracking arrived looking like the negihbor's trash,0,negative,Disappointment,negative,Home & Kitchen,11,9,medium,1,1,0,en,negative,positive,0.5267,0.386,0.614,0.0
105,Wow The box ended up in an accordion,the box ended up in an accordion,0,negative,Disappointment,negative,Home & Kitchen,8,7,short,3,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
106,I guess My shipment got tossed into a warzone Oh well,i guess my shipment got tossed into a warzone oh well,0,negative,Disappointment,negative,Clothing,11,11,medium,1,1,0,en,negative,positive,0.2732,0.208,0.792,0.0
107,Look Thet racking ended up in the neighbor's trash,look thet racking ended up in the neighbor's trash,0,negative,Frustration,negative,Clothing,9,9,medium,1,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
108,Ok so The guy spent a week in another state,ok so the guy spent a week in another state,0,negative,Disappointment,negative,Automotive,10,10,medium,0,1,0,en,negative,positive,0.296,0.216,0.784,0.0
109,The  tracking ended up in an accordion Just putting it out there,the tracking ended up in an accordion just putting it out there,0,negative,Frustration,negative,Sports & Outdoors,12,12,medium,1,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
110,The  delivery went to a swamp,the delivery went to a swamp,0,negative,Frustration,negative,Automotive,6,6,short,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
111,Bruh The guy was left near an accordion Take it or leave it ok,the guy was left near an accordion take it or leave it ok,0,negative,Frustration,negative,Electronics,14,13,medium,1,1,0,en,negative,positive,0.25,0.153,0.764,0.083
112,bruh the delivery looked like it visited an accordion cheers !!,the delivery looked like it visited an accordion,0,negative,Frustration,negative,Home & Kitchen,11,8,medium,1,1,0,en,negative,positive,0.3612,0.263,0.737,0.0
113,listen the guy looked like it visited an accordion fascinating lol,listen the guy looked like it visited an accordion,0,negative,Sarcasm,negative,Clothing,11,9,medium,0,1,0,en,negative,positive,0.3612,0.238,0.762,0.0
114,look my shipment spent a week in  apuddle oh well tbh,look my shipment spent a week in apuddle oh well,0,negative,Disappointment,negative,Automotive,11,10,medium,3,1,0,en,negative,positive,0.2732,0.208,0.792,0.0
115,The  delivery looked like it visited a puddle Oh well ok,the delivery looked like it visited a puddle oh well ok,0,negative,Sarcasm,negative,Electronics,11,11,medium,0,1,0,en,negative,positive,0.7003,0.493,0.507,0.0
116,The  carrier was left near another state Make of that what you will tbh,the carrier was left near another state make of that what you will,0,negative,Sarcasm,negative,Electronics,14,13,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
117,well the package went to the next town over make of that what you will .,well the package went to the next town over make of that what you will,0,negative,Sarcasm,negative,Electronics,16,15,long,1,1,0,en,negative,positive,0.2732,0.13,0.87,0.0
118,The tracking was left near a swamp Oh well .,the tracking was left near a swamp oh well,0,negative,Frustration,negative,Sports & Outdoors,10,9,medium,1,1,0,en,negative,positive,0.2732,0.231,0.769,0.0
120,So The package arrived looking like a swamp Fascinating hmm,so the package arrived looking like a swamp,0,negative,Frustration,negative,Automotive,10,8,medium,0,1,0,en,negative,positive,0.3612,0.294,0.706,0.0
121,the package went to a pdudle end of story wow,the package went to a pdudle end of story,0,negative,Disappointment,negative,Electronics,10,9,medium,4,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
122,If im being real The guy arrived looking like an accordion Whatever hmm,if im being real the guy arrived looking like an accordion,0,negative,Frustration,negative,Automotive,13,11,medium,0,1,0,en,negative,positive,0.3612,0.2,0.8,0.0
123,first off the carrier ended up in the neighbor's trash yeah,first off the carrier ended up in the neighbor's trash,0,negative,Disappointment,negative,Home & Kitchen,11,10,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
124,If im being real The package was left near a swamp smh,if im being real the package was left near a swamp,0,negative,Sarcasm,negative,Automotive,12,11,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
125,Honestly The delivery spent a week in the next town over Yup smh,honestly the delivery spent a week in the next town over,0,negative,Frustration,negative,Electronics,13,11,medium,4,1,0,en,negative,positive,0.4588,0.25,0.75,0.0
126,bruh the package got tossed nito a puddle,the package got tossed nito a puddle,0,negative,Sarcasm,negative,Home & Kitchen,8,7,short,1,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
128,The box arrived looking like the neighbors trash,the box arrived looking like the neighbors trash,0,negative,Sarcasm,negative,Sports & Outdoors,8,8,medium,1,1,0,en,negative,positive,0.3612,0.263,0.737,0.0
129,Look The box spent a week in the neighbors trash wow,look the box spent a week in the neighbors trash,0,negative,Frustration,negative,Clothing,11,10,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
130,if im being real the carrier went to the neighbor's trash fascinating ok,if im being real the carrier went to the neighbor's trash ok,0,negative,Disappointment,negative,Automotive,13,12,medium,0,1,0,en,negative,positive,0.296,0.167,0.833,0.0
131,I guess The packgae ended up in the neighbor's trash hmm,i guess the packgae ended up in the neighbor's trash,0,negative,Sarcasm,negative,Sports & Outdoors,11,10,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
132,the carrier was left near a swamp,the carrier was left near a swamp,0,negative,Disappointment,negative,Automotive,7,7,short,2,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
133,honestly the guy arrived looking liket he neighbor's trash,honestly the guy arrived looking liket he neighbor's trash,0,negative,Disappointment,negative,Home & Kitchen,9,9,medium,1,1,0,en,negative,positive,0.4588,0.273,0.727,0.0
134,Well My shipment was left near the next town over Just putting it out there,well my shipment was left near the next town over just putting it out there,0,negative,Sarcasm,negative,Clothing,15,15,long,1,1,0,en,negative,positive,0.2732,0.13,0.87,0.0
135,My shipment looked like it visited a warzone Just putting it out there yeah,my shipment looked like it visited a warzone just putting it out there,0,negative,Disappointment,negative,Automotive,14,13,medium,0,1,0,en,negative,positive,0.3612,0.185,0.815,0.0
136,so the box went to the next town over hmm,so the box went to the next town over,0,negative,Frustration,negative,Sports & Outdoors,10,9,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
137,my shipment ended up in a puddle yup hmm,my shipment ended up in a puddle,0,negative,Sarcasm,negative,Electronics,9,7,short,4,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
138,Listen  The guy arrived looking like another state hmm,listen the guy arrived looking like another state,0,negative,Sarcasm,negative,Electronics,9,8,medium,0,1,0,en,negative,positive,0.3612,0.263,0.737,0.0
139,the package spent a week in the neighbor's trash anyway hmm,the package spent a week in the neighbor's trash,0,negative,Disappointment,negative,Home & Kitchen,11,9,medium,4,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
140,Okay The delivery looked like it visited another state Anyway,okay the delivery looked like it visited another state,0,negative,Frustration,negative,Sports & Outdoors,10,9,medium,1,1,0,en,negative,positive,0.5267,0.386,0.614,0.0
141,Honestly The delivery went to a puddle Make of that what you will lol,honestly the delivery went to a puddle make of that what you will,0,negative,Sarcasm,negative,Electronics,14,13,medium,1,1,0,en,negative,positive,0.4588,0.214,0.786,0.0
143,Bruh  My shipment got tossed into an accordion wow,my shipment got tossed into an accordion,0,negative,Disappointment,negative,Electronics,9,7,short,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
144,First off My shipment went to the neighbor's trash ok,first off my shipment went to the neighbor's trash ok,0,negative,Disappointment,negative,Clothing,10,10,medium,0,1,0,en,negative,positive,0.296,0.196,0.804,0.0
145,I  guess The delivery got tossed into a puddle Whatever ??,i guess the delivery got tossed into a puddle,0,negative,Sarcasm,negative,Home & Kitchen,11,9,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
146,Look The box spent a week in the next town over End of story,look the box spent a week in the next town over end of story,0,negative,Disappointment,negative,Electronics,14,14,medium,3,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
147,My shipment was left near a warzone Take ti or leave it yeah,my shipment was left near a warzone take ti or leave it,0,negative,Sarcasm,negative,Sports & Outdoors,13,12,medium,1,1,0,en,negative,negative,-0.0516,0.0,0.893,0.107
148,the tracking arrived looking like the next town over fascinating lol,the tracking arrived looking like the next town over,0,negative,Sarcasm,negative,Clothing,11,9,medium,8,1,0,en,negative,positive,0.3612,0.238,0.762,0.0
149,look the tracking was left near an accordion smh,look the tracking was left near an accordion,0,negative,Sarcasm,negative,Clothing,9,8,medium,2,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
150,The tracking went to an accordion Just putting it out there hmm,the tracking went to an accordion just putting it out there,0,negative,Disappointment,negative,Home & Kitchen,12,11,medium,2,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
151,right so the box looked like it visited the next town over end of story ok,right so the box looked like it visited the next town over end of story ok,0,negative,Disappointment,negative,Sports & Outdoors,16,16,long,0,1,0,en,negative,positive,0.5719,0.251,0.749,0.0
152,Bruh The tracking was left near the neighbors trash,the tracking was left near the neighbors trash,0,negative,Disappointment,negative,Clothing,9,8,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
153,bruh the delivery arrived looking like an accordion cheers wow,the delivery arrived looking like an accordion,0,negative,Sarcasm,negative,Clothing,10,7,short,0,1,0,en,negative,positive,0.3612,0.294,0.706,0.0
154,Right so The delivery got tossed into the next otwn over Anyway ??,right so the delivery got tossed into the next otwn over,0,negative,Frustration,negative,Home & Kitchen,13,11,medium,4,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
155,My shipment arrived looking like a puddle Take it or leave it,my shipment arrived looking like a puddle take it or leave it,0,negative,Disappointment,negative,Home & Kitchen,12,12,medium,1,1,0,en,negative,positive,0.3182,0.197,0.709,0.094
157,first  off the package looke dlike it visited a swamp end of story,first off the package looke dlike it visited a swamp end of story,0,negative,Frustration,negative,Home & Kitchen,13,13,medium,2,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
158,the  package was left nea ranother state hmm,the package was left nea ranother state,0,negative,Disappointment,negative,Automotive,8,7,short,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
159,i guess the box went to another state yeah,i guess the box went to another state,0,negative,Frustration,negative,Electronics,9,8,medium,0,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
160,Wow The carrier looked like it visited another state ??,the carrier looked like it visited another state,0,negative,Sarcasm,negative,Sports & Outdoors,10,8,medium,2,1,0,en,negative,positive,0.3612,0.263,0.737,0.0
161,Look The box arrived looking like an accordion Make of that what you will tbh,look the box arrived looking like an accordion make of that what you will,0,negative,Disappointment,negative,Automotive,15,14,medium,0,1,0,en,negative,positive,0.3612,0.161,0.839,0.0
162,so the package went to the neighbors trash just putting it out there,so the package went to the neighbors trash just putting it out there,0,negative,Frustration,negative,Clothing,13,13,medium,5,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
163,If im being real The tracking ended up in the next town over !!,if im being real the tracking ended up in the next town over,0,negative,Sarcasm,negative,Sports & Outdoors,14,13,medium,1,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
164,I guess The tracking ended up in a warzone Just putting it out there .,i guess the tracking ended up in a warzone just putting it out there,0,negative,Frustration,negative,Electronics,15,14,medium,1,1,0,en,negative,neutral,0.0,0.0,1.0,0.0
